Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,2,020686,50,35mmNumérique,Numérique 2D,,Lydie Ratajczyk,lydie@mc4-distribution.fr
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,3,020687,82,35mmNumérique,Numérique 2D,,Lydie Ratajczyk,lydie@mc4-distribution.fr
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,4,020688,87,35mmNumérique,Numérique 2D,,Lydie Ratajczyk,lydie@mc4-distribution.fr
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,5,020689,33,35mmNumérique,Numérique 2D,,Lydie Ratajczyk,lydie@mc4-distribution.fr
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,6,020690,83,35mmNumérique,Numérique 2D,,Lydie Ratajczyk,lydie@mc4-distribution.fr
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,7,020691,95,35mmNumérique,Numérique 2D,,Lydie Ratajczyk,lydie@mc4-distribution.fr
Cineplanet Antibes,1 bis Rue Fontvieille - 06600 Antibes,8,020692,183,35mmNumérique,Numérique 2D,,Lydie Ratajczyk,lydie@mc4-distribution.fr
Cinéma étoile,rue Baudin - 01400 Châtillon-sur-Chalaronne,1,106072,245,3D35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,1,720850,589,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,2,720851,388,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,3,720852,195,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,4,720853,350,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,5,720854,117,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,6,720855,142,3DNumérique,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,7,720856,100,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,8,720857,168,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,9,720858,78,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,10,720859,75,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,11,720860,82,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Colmar,Place Scheurer Kestner - 68000 Colmar,12,720861,82,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Louis Jouvet,"3, place Maurice Berteaux - 78400 Chatou",1,106262,342,3D35mmNumérique,Numérique 2D,,Michel Enten,menten@club-internet.fr
Louis Jouvet,"3, place Maurice Berteaux - 78400 Chatou",2,106272,117,Numérique,Numérique 2D,,Michel Enten,menten@club-internet.fr
Source (La),"29, rue Saint Julien - 15110 Chaudes-Aigues",1,106582,250,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Ciné Action Palace,"50, rue Centrale - 71170 Chauffailles",1,106673,147,3D35mmNumérique,Numérique 2D,Régis Faure,panacea.regis.faure@gmail.com,
Cinévadrouille,route des Bannettes - 05800 Chauffayer,1,106681,270,35mmNumérique,Numérique 2D,Régine Zecconi,regine.zecconi8@orange.fr,
Lumière,Place Yves Brinon - 02300 Chauny,1,107251,195,3D35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Lumière,Place Yves Brinon - 02300 Chauny,2,107252,105,3D35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Lumière,Place Yves Brinon - 02300 Chauny,3,107253,80,35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",1,148324,596,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",2,148325,171,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",3,148326,172,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",4,148327,123,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",5,148328,123,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",6,148329,94,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",7,719950,191,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",8,719951,183,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",9,719952,172,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",10,719953,160,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",11,719954,128,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Epinay-sur-Seine,"5, av. du Maréchal Joffre - 93800 Epinay-sur-Seine",12,719955,357,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Foyer Culturel,Ciné-Chef - BP 40004 - 79110 Chef-Boutonne,1,108592,146,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cosmos (Le),"Espace Cinémarne - 22, av. de la Résistance - 77500 Chelles",1,108774,300,Numérique,Numérique 2D,Programmation Balzac Paris,Corinne HONLIASSO,corinne@etoile-cinemas.com
Cosmos (Le),"Espace Cinémarne - 22, av. de la Résistance - 77500 Chelles",1_3D,,,3DNumérique,,Programmation Balzac Paris,Corinne HONLIASSO,corinne@etoile-cinemas.com
Cosmos (Le),"Espace Cinémarne - 22, av. de la Résistance - 77500 Chelles",2,108775,345,3D35mmNumérique,Numérique 2D,Programmation Balzac Paris,Corinne HONLIASSO,corinne@etoile-cinemas.com
Club (Le),rue des Venelles - 49120 Chemillé,1,108932,198,35mmNumérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Théâtre André Malraux,"102, av. du Général de Gaulle - 94550 Chevilly-Larue",1,110761,405,35mmNumérique,Numérique 2D,Gilles Le Proust,gilles.leproust@yahoo.fr,
Rabelais (Le),"31 bis, place du Général de Gaulle - 37500 Chinon",1,111621,235,3D35mmNumérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,1,429132,665,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,2,429133,364,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,3,429134,151,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,4,429135,376,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,5,429136,235,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,6,429137,75,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,7,429138,93,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,8,429139,87,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,9,429140,92,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,10,429141,188,3DNumérique,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,11,429142,92,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,12,429143,92,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,13,429144,84,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,14,429145,98,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,15,429146,99,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Torcy,Centre Commercial BAY 1 Loisirs - Promenade du 7ème Art - 77200 Torcy,16,429147,100,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Salle Paul Eluard,"4, av. de Villeneuve Saint Georges - 94600 Choisy-le-Roi",1,112014,181,3D35mmNumérique,Numérique 2D,Gilles Le Proust,gilles.leproust@yahoo.fr,
Théatre de Verdure,31 Rue République - 07210 Chomérac,1,112151,400,35mmNumérique,,Louis Degassart,"kdm.privas@gmail.com, louis.degassart@cegetel.net",
Ciné la Sorgue,"3 rue de la République - lôt de la Tour d'Argent,",1,201754,182,Numérique,Numérique 2D,Jean-Christophe Benbakir,jcb@trevans.fr,pmatelic@trevans.fr
Ciné la Sorgue,"3 rue de la République - lôt de la Tour d'Argent,",2,201755,95,Numérique,Numérique 2D,Jean-Christophe Benbakir,jcb@trevans.fr,pmatelic@trevans.fr
Ciné la Sorgue,"3 rue de la République - lôt de la Tour d'Argent,",3,201756,77,Numérique,Numérique 2D,Jean-Christophe Benbakir,jcb@trevans.fr,pmatelic@trevans.fr
Ciné-Malice (Le),"7, rue Louis XIII - 86400 Civray",1,113131,126,3D35mmNumérique,Numérique 2D,Nadia Barteau,sudcinenadia@orange.fr,
Magnoac (Le),Centre Méridien - BP 20 - 65421 Cizos,1,113271,116,35mmNumérique,Numérique 2D,,Boule Jacques,jacques.boule@parvis.net
Cinéma Jeanne Moreau,"22, rue Paul Vaillant Couturier - 92140 Clamart",1,113523,176,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Espace Philippe Noiret,place Charles de Gaulle - 78340 Les Clayes-sous-Bois,1,114032,256,3D35mmNumérique,Numérique 2D,Marie-Jeanne Gomet,mariejeannegomet@gmail.com,
Espace Philippe Noiret,place Charles de Gaulle - 78340 Les Clayes-sous-Bois,2,114033,100,3DNumérique,Numérique 2D,Marie-Jeanne Gomet,mariejeannegomet@gmail.com,
Ecran Vagabond du Trièves,38930 Saint-Martin-de-Clelles - Téléphone: 06 71 09 32 08,1_Eloi Ville,402431,,Numérique,Numérique 2D,,ecran.vagabond.trieves@orange.fr,
Ecran Vagabond du Trièves,38930 Saint-Martin-de-Clelles - Téléphone: 06 71 09 32 08,3_Giono,114211,,Numérique,Numérique 2D,,ecran.vagabond.trieves@orange.fr,
Cinéma du Clermontois,"9, rue Henri Breuil - 60600 Clermont-Sur-Oise",1,114523,110,3D35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,1,305041,603,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,2,305042,212,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,3,305043,94,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,4,305044,94,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,5,305045,94,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,6,305046,152,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,7,305050,142,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,8,305051,147,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,9,305052,195,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,10,305053,260,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,11,305054,188,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Université - Pau,Place du 7ème art (centre Leclerc) - 64000 Pau,12,305055,293,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Alain Resnais,Rue Roger Salasc - 34800 Clermont-l'Hérault,1,,,Numérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Balcons de Mougins (Les),600 avenue de Tournamy - 06250 Mougins,1,725760,,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Balcons de Mougins (Les),600 avenue de Tournamy - 06250 Mougins,2,725761,,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Balcons de Mougins (Les),600 avenue de Tournamy - 06250 Mougins,3,725762,,Numérique,Numérique 2D,Thibaut Martines,thibaut@cinewest.fr,
Ciné Capitole,"32, place de Jaude - 63000 Clermont-Ferrand",1,114621,240,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Ciné Capitole,"32, place de Jaude - 63000 Clermont-Ferrand",2,114651,180,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Ciné Capitole,"32, place de Jaude - 63000 Clermont-Ferrand",3,114713,89,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Ciné Capitole,"32, place de Jaude - 63000 Clermont-Ferrand",4,114714,69,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Ciné Capitole,"32, place de Jaude - 63000 Clermont-Ferrand",5,114715,69,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Rio (Le),"178, rue sous Les Vignes - 63100 Clermont-Ferrand",1,114664,159,35mmNumérique,Numérique 2D,Sylvie SOLITUDE,info@cinemalerio.com,
CGR Les Ambiances - Clermont-Ferrand,"7, rue Saint Dominique - 63000 Clermont-Ferrand",1,114717,90,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Les Ambiances - Clermont-Ferrand,"7, rue Saint Dominique - 63000 Clermont-Ferrand",2,114718,83,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Les Ambiances - Clermont-Ferrand,"7, rue Saint Dominique - 63000 Clermont-Ferrand",3,114719,96,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Cinévillage - Foyers Ruraux de Saône et Loire (71),Hameau de l'eau vive - 71960 La Roche-Vineuse,1_Clesse,114971,150,35mmNumérique,Numérique 2D,,cinevillage71@gmail.com,
Cinévillage - Foyers Ruraux de Saône et Loire (71),Hameau de l'eau vive - 71960 La Roche-Vineuse,2,,200,35mmNumérique,,,cinevillage71@gmail.com,
Cinévillage - Foyers Ruraux de Saône et Loire (71),Hameau de l'eau vive - 71960 La Roche-Vineuse,3,,200,35mmNumérique,,,cinevillage71@gmail.com,
Cinévillage - Foyers Ruraux de Saône et Loire (71),Hameau de l'eau vive - 71960 La Roche-Vineuse,4,,,Numérique,,,cinevillage71@gmail.com,
Rutebeuf,"16-18, allée Léon Gambetta - 92110 Clichy",1,115104,549,3D35mmNumérique,Numérique 2D,Directeur,Thomas PETIT,thomas.petit@ville-clichy.fr
Connétable (Le),"Eco-quartier du champs de foire - 1, rue des Marches de Bretagne - 44190 Clisson",1,115334,152,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Connétable (Le),"Eco-quartier du champs de foire - 1, rue des Marches de Bretagne - 44190 Clisson",2,115335,280,3DNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Arts (Les),place du Marché - 71250 Cluny,1,115511,289,3D35mmNumérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Danay,"71, route de l'Etale - 74220 La Clusaz",1,115521,313,3DNumérique,Numérique 2D,Philippe Piccot,cinechablais@orange.fr,
Grand Ecran Montaigu-Vendée,21 Av. Villebois Mareuil - 85600 Montaigu-Vendée,1,268124,302,35mmNumériqueAtmos,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Grand Ecran Montaigu-Vendée,21 Av. Villebois Mareuil - 85600 Montaigu-Vendée,2,268125,219,Numérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Grand Ecran Montaigu-Vendée,21 Av. Villebois Mareuil - 85600 Montaigu-Vendée,3,268126,125,Numérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Grand Ecran Montaigu-Vendée,21 Av. Villebois Mareuil - 85600 Montaigu-Vendée,4,268127,86,Numérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Grand Ecran Montaigu-Vendée,21 Av. Villebois Mareuil - 85600 Montaigu-Vendée,5,268128,79,Numérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Grand Ecran Montaigu-Vendée,21 Av. Villebois Mareuil - 85600 Montaigu-Vendée,6,268129,79,35mmNumérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Studio 1600 - Flaine,Flaine forum - 74300 Cluses,1,115562,256,35mmNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
